NCBI_id,OrthoDB_seq,species_name,amino_entropy,protein_entropy,constructive_entropy,divergence_time,amino_edge_E(G),amino_total_N,protein_edge_E(G),protein_total_N,superkingdom,superkingdom_name,kingdom,kingdom_name,subkingdom,subkingdom_name,phylum,phylum_name,subphylum,subphylum_name,superclass,superclass_name,class,class_name,subclass,subclass_name,order,order_name,family,family_name,genus,genus_name,divergence_time_log
1311,0,Streptococcus agalactiae,0.9389644612186548,0.9995042141794744,0.0605397529608195,340.0,181465832381.0,621710,2033136.0,2017,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,186826.0,Lactobacillales,1300.0,Streptococcaceae,1301.0,Streptococcus,2.531478917042255
1351,0,Enterococcus faecalis,0.9390196108623616,0.9996861268047708,0.0606665159424093,766.8,401273653900.0,924481,5073705.0,3186,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,186826.0,Lactobacillales,81852.0,Enterococcaceae,1350.0,Enterococcus,2.884682104206025
1358,0,Lactococcus lactis,0.9381135529503152,0.9995408631772268,0.0614273102269116,700.0,212902336101.0,673717,2370753.0,2178,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,186826.0,Lactobacillales,1300.0,Streptococcaceae,1357.0,Lactococcus,2.8450980400142565
1396,0,Bacillus cereus,0.9392509594252754,0.9998225377107364,0.0605715782854611,3.616626,1133599661704.0,1553653,15873795.0,5635,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,0.5583036001262061
1408,0,Bacillus pumilus,0.9394085383921172,0.9997264021887824,0.0603178637966652,603.5532535,544290545156.0,1076473,6677685.0,3655,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,2.7807155953626888
1421,1,Lysinibacillus sphaericus,0.9387842360381242,0.9996833438885372,0.0608991078504128,1480.0,421808976085.0,947960,4984903.0,3158,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186817.0,Bacillaceae,400634.0,Lysinibacillus,3.170261715394957
1423,1,Bacillus subtilis,0.9393641822372116,0.9997565725413826,0.0603923903041709,281.2284925,702937663700.0,1223366,8435778.0,4108,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,2.449059318867933
1428,1,Bacillus thuringiensis,0.9391629511966736,0.9998113563478588,0.0606484051511851,3.616626,1023328079742.0,1476223,14047650.0,5301,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186817.0,Bacillaceae,1386.0,Bacillus,0.5583036001262061
1476,0,Sporosarcina psychrophila,0.9385524548397904,0.9997629770087698,0.0612105221689793,1500.0,700039167930.0,1221369,8897871.0,4219,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186818.0,Planococcaceae,1569.0,Sporosarcina,3.176091259055681
1492,0,Clostridium butyricum,0.936243235471496,0.9997403271877434,0.0634970917162472,2560.0,717117268875.0,1237701,7413175.0,3851,2,Bacteria,,,,,1239.0,Firmicutes,,,,,186801.0,Clostridia,,,186802.0,Eubacteriales,31979.0,Clostridiaceae,1485.0,Clostridium,3.408239965311849
1525,0,Moorella thermoacetica,0.934173008694648,0.9996001599360256,0.0654271512413775,2027.645,258521395029.0,743960,3126250.0,2501,2,Bacteria,,,,,1239.0,Firmicutes,,,,,186801.0,Clostridia,,,68295.0,Thermoanaerobacterales,186814.0,Thermoanaerobacteraceae,44260.0,Moorella,3.3069919210573904
155892,0,Caulobacter vibrioides,0.9284452467412974,0.9997846220116304,0.071339375270333,1400.40333333333,1105996206864.0,1543525,10776403.0,4643,2,Bacteria,,,,,1224.0,Proteobacteria,,,,,28211.0,Alphaproteobacteria,,,204458.0,Caulobacterales,76892.0,Caulobacteraceae,75.0,Caulobacter,3.1462531358308903
1575,1,Leifsonia xyli,0.9277323764534132,0.9996934396076028,0.0719610631541893,936.91,467007223052.0,1003380,5318691.0,3262,2,Bacteria,,,,,201174.0,Actinobacteria,,,,,1760.0,Actinomycetia,,,85006.0,Micrococcales,85023.0,Microbacteriaceae,110932.0,Leifsonia,2.9716978743662787
1639,0,Listeria monocytogenes,0.9383786455066144,0.9996414485478666,0.0612628030412523,20.62214,344493504281.0,856873,3887866.0,2789,2,Bacteria,,,,,1239.0,Firmicutes,,,,,91061.0,Bacilli,,,1385.0,Bacillales,186820.0,Listeriaceae,1637.0,Listeria,1.3143337308780156
197,0,Campylobacter jejuni,0.9351034635224162,0.9993891264508248,0.0642856629284084,1199.5075,113917060623.0,493605,1339066.0,1637,2,Bacteria,,,,,1224.0,Proteobacteria,68525.0,delta/epsilon subdivisions,,,29547.0,Epsilonproteobacteria,,,213849.0,Campylobacterales,72294.0,Campylobacteraceae,194.0,Campylobacter,3.0790029677673183
210,1,Helicobacter pylori,0.93705496186433,0.9993098688750862,0.0622549070107563,1199.5075,101325220305.0,465041,1049076.0,1449,2,Bacteria,,,,,1224.0,Proteobacteria,68525.0,delta/epsilon subdivisions,,,29547.0,Epsilonproteobacteria,,,213849.0,Campylobacterales,72293.0,Helicobacteraceae,209.0,Helicobacter,3.0790029677673183
